// HASH_VALUE 4E6651617D57DB99
// INDEX 0
abandon_mission	[&TSK&你放弃了一个任务。]
boss_mainland_craftpart1b_diag1	[你付我钱、把所有残片都给我，我就立刻开工。这活很复杂，价值 1500 万达珀。开工后概不退款。]

// HASH_VALUE 2C82716D2BE83539
// INDEX 33
boss_mainland_craftpart1b_diag2	[让我看看……不久前我见过一件相似的东西。\n
	\n
	这是一份掠夺者护甲的图纸！稀有……价值连城……\n
	\n
	它修复好了！我现在可以教你们制造这套护甲了。]

// HASH_VALUE 32EC14B31580D0B7
// INDEX 34
boss_mainland_craftpart1b_diaglevel	[你看起来经验不足，理解不了我想教你的东西。等你再积累一些护甲制造经验再来！]

// HASH_VALUE B0BC53F4FA31914C
// INDEX 35
boss_mainland_craftpart1b_mission_intro	[修复靴子图纸。]

// HASH_VALUE A774CFECDF44BD11
// INDEX 36
boss_mainland_craftpart1b_p_mis_desc	[完成支付。]

// HASH_VALUE 4B1EBA39D8CF456C
// INDEX 37
boss_mainland_craftpart1b_p_mis_title	[修复。]

// HASH_VALUE 084FE1AC3C6CC072
// INDEX 38
boss_mainland_craftpart1c_diag1	[你付我钱、把所有残片都给我，我就立刻开工。这活很复杂，价值 1500 万达珀。开工后概不退款。]

// HASH_VALUE 2C82716D2BE83539
// INDEX 39
boss_mainland_craftpart1c_diag2	[让我看看……不久前我见过一件相似的东西。\n
	\n
	这是一份掠夺者护甲的图纸！稀有……价值连城……\n
	\n
	它修复好了！我现在可以教你们制造这套护甲了。]

// HASH_VALUE 32EC14B31580D0B7
// INDEX 40
boss_mainland_craftpart1c_diaglevel	[你看起来经验不足，理解不了我想教你的东西。等你再积累一些护甲制造经验再来！]

// HASH_VALUE B0BC53F4FA31914C
// INDEX 41
boss_mainland_craftpart1c_mission_intro	[修复靴子图纸。]

// HASH_VALUE A774CFECDF44BD11
// INDEX 42
boss_mainland_craftpart1c_p_mis_desc	[完成支付。]

// HASH_VALUE 4B1EBA39D8CF456C
// INDEX 43
boss_mainland_craftpart1c_p_mis_title	[修复。]

// HASH_VALUE 084FE1AC3C6CC072
// INDEX 44
boss_mainland_craftpart1d_diag1	[你付我钱、把所有残片都给我，我就立刻开工。这活很复杂，价值 1500 万达珀。开工后概不退款。]

// HASH_VALUE 2C82716D2BE83539
// INDEX 45
boss_mainland_craftpart1d_diag2	[让我看看……不久前我见过一件相似的东西。\n
	\n
	这是一份掠夺者护甲的图纸！稀有……价值连城……\n
	\n
	它修复好了！我现在可以教你们制造这套护甲了。]

// HASH_VALUE 32EC14B31580D0B7
// INDEX 46
boss_mainland_craftpart1d_diaglevel	[你看起来经验不足，理解不了我想教你的东西。等你再积累一些护甲制造经验再来！]

// HASH_VALUE B0BC53F4FA31914C
// INDEX 47
boss_mainland_craftpart1d_mission_intro	[修复靴子图纸。]

// HASH_VALUE A774CFECDF44BD11
// INDEX 48
boss_mainland_craftpart1d_p_mis_desc	[完成支付。]

// HASH_VALUE 4B1EBA39D8CF456C
// INDEX 49
boss_mainland_craftpart1d_p_mis_title	[修复。]

// HASH_VALUE 084FE1AC3C6CC072
// INDEX 50
boss_mainland_craftpart1e_diag1	[你付我钱、把所有残片都给我，我就立刻开工。这活很复杂，价值 1500 万达珀。开工后概不退款。]

// HASH_VALUE 2C82716D2BE83539
// INDEX 51
boss_mainland_craftpart1e_diag2	[让我看看……不久前我见过一件相似的东西。\n
	\n
	这是一份掠夺者护甲的图纸！稀有……价值连城……\n
	\n
	它修复好了！我现在可以教你们制造这套护甲了。]

// HASH_VALUE 32EC14B31580D0B7
// INDEX 52
boss_mainland_craftpart1e_diaglevel	[你看起来经验不足，理解不了我想教你的东西。等你再积累一些护甲制造经验再来！]

// HASH_VALUE B0BC53F4FA31914C
// INDEX 53
boss_mainland_craftpart1e_mission_intro	[修复靴子图纸。]

// HASH_VALUE A774CFECDF44BD11
// INDEX 54
boss_mainland_craftpart1e_p_mis_desc	[完成支付。]

// HASH_VALUE 4B1EBA39D8CF456C
// INDEX 55
boss_mainland_craftpart1e_p_mis_title	[修复。]

// HASH_VALUE 084FE1AC3C6CC072
// INDEX 56
boss_mainland_craftpart2a_diag1	[你付我钱、把所有残片都给我，我就立刻开工。这活很复杂，价值 1500 万达珀。开工后概不退款。]

// HASH_VALUE 2C82716D2BE83539
// INDEX 57
boss_mainland_craftpart2a_diag2	[让我看看……不久前我见过一件相似的东西。\n
	\n
	这是一份掠夺者护甲的图纸！稀有……价值连城……\n
	\n
	它修复好了！我现在可以教你们制造这套护甲了。]

// HASH_VALUE 32EC14B31580D0B7
// INDEX 58
boss_mainland_craftpart2a_diaglevel	[你看起来经验不足，理解不了我想教你的东西。等你再积累一些护甲制造经验再来！]

// HASH_VALUE 70B31263D5F8914C
// INDEX 59
boss_mainland_craftpart2a_mission_intro	[修复手套图纸。]

// HASH_VALUE A774CFECDF44BD11
// INDEX 60
boss_mainland_craftpart2a_p_mis_desc	[完成支付。]

// HASH_VALUE 4B1EBA39D8CF456C
// INDEX 61
boss_mainland_craftpart2a_p_mis_title	[修复。]

// HASH_VALUE 084FE1AC3C6CC072
// INDEX 62
boss_mainland_craftpart2b_diag1	[你付我钱、把所有残片都给我，我就立刻开工。这活很复杂，价值 1500 万达珀。开工后概不退款。]

// HASH_VALUE 2C82716D2BE83539
// INDEX 63
boss_mainland_craftpart2b_diag2	[让我看看……不久前我见过一件相似的东西。\n
	\n
	这是一份掠夺者护甲的图纸！稀有……价值连城……\n
	\n
	它修复好了！我现在可以教你们制造这套护甲了。]

// HASH_VALUE 32EC14B31580D0B7
// INDEX 64
boss_mainland_craftpart2b_diaglevel	[你看起来经验不足，理解不了我想教你的东西。等你再积累一些护甲制造经验再来！]

// HASH_VALUE 70B31263D5F8914C
// INDEX 65
boss_mainland_craftpart2b_mission_intro	[修复手套图纸。]

// HASH_VALUE A774CFECDF44BD11
// INDEX 66
boss_mainland_craftpart2b_p_mis_desc	[完成支付。]

// HASH_VALUE 4B1EBA39D8CF456C
// INDEX 67
boss_mainland_craftpart2b_p_mis_title	[修复。]

// HASH_VALUE 084FE1AC3C6CC072
// INDEX 68
boss_mainland_craftpart2c_diag1	[你付我钱、把所有残片都给我，我就立刻开工。这活很复杂，价值 1500 万达珀。开工后概不退款。]

// HASH_VALUE 2C82716D2BE83539
// INDEX 69
boss_mainland_craftpart2c_diag2	[让我看看……不久前我见过一件相似的东西。\n
	\n
	这是一份掠夺者护甲的图纸！稀有……价值连城……\n
	\n
	它修复好了！我现在可以教你们制造这套护甲了。]

// HASH_VALUE 32EC14B31580D0B7
// INDEX 70
boss_mainland_craftpart2c_diaglevel	[你看起来经验不足，理解不了我想教你的东西。等你再积累一些护甲制造经验再来！]

// HASH_VALUE 70B31263D5F8914C
// INDEX 71
boss_mainland_craftpart2c_mission_intro	[修复手套图纸。]

// HASH_VALUE A774CFECDF44BD11
// INDEX 72
boss_mainland_craftpart2c_p_mis_desc	[完成支付。]

// HASH_VALUE 4B1EBA39D8CF456C
// INDEX 73
boss_mainland_craftpart2c_p_mis_title	[修复。]

// HASH_VALUE 084FE1AC3C6CC072
// INDEX 74
boss_mainland_craftpart2d_diag1	[你付我钱、把所有残片都给我，我就立刻开工。这活很复杂，价值 1500 万达珀。开工后概不退款。]

// HASH_VALUE 2C82716D2BE83539
// INDEX 75
boss_mainland_craftpart2d_diag2	[让我看看……不久前我见过一件相似的东西。\n
	\n
	这是一份掠夺者护甲的图纸！稀有……价值连城……\n
	\n
	它修复好了！我现在可以教你们制造这套护甲了。]

// HASH_VALUE 32EC14B31580D0B7
// INDEX 76
boss_mainland_craftpart2d_diaglevel	[你看起来经验不足，理解不了我想教你的东西。等你再积累一些护甲制造经验再来！]

// HASH_VALUE 70B31263D5F8914C
// INDEX 77
boss_mainland_craftpart2d_mission_intro	[修复手套图纸。]

// HASH_VALUE A774CFECDF44BD11
// INDEX 78
boss_mainland_craftpart2d_p_mis_desc	[完成支付。]

// HASH_VALUE 4B1EBA39D8CF456C
// INDEX 79
boss_mainland_craftpart2d_p_mis_title	[修复。]

// HASH_VALUE 084FE1AC3C6CC072
// INDEX 80
boss_mainland_craftpart2e_diag1	[你付我钱、把所有残片都给我，我就立刻开工。这活很复杂，价值 1500 万达珀。开工后概不退款。]

// HASH_VALUE 2C82716D2BE83539
// INDEX 81
boss_mainland_craftpart2e_diag2	[让我看看……不久前我见过一件相似的东西。\n
	\n
	这是一份掠夺者护甲的图纸！稀有……价值连城……\n
	\n
	它修复好了！我现在可以教你们制造这套护甲了。]

// HASH_VALUE 32EC14B31580D0B7
// INDEX 82
boss_mainland_craftpart2e_diaglevel	[你看起来经验不足，理解不了我想教你的东西。等你再积累一些护甲制造经验再来！]

// HASH_VALUE 70B31263D5F8914C
// INDEX 83
boss_mainland_craftpart2e_mission_intro	[修复手套图纸。]

// HASH_VALUE A774CFECDF44BD11
// INDEX 84
boss_mainland_craftpart2e_p_mis_desc	[完成支付。]

// HASH_VALUE 4B1EBA39D8CF456C
// INDEX 85
boss_mainland_craftpart2e_p_mis_title	[修复。]

// HASH_VALUE 084FE1AC3C6CC072
// INDEX 86
boss_mainland_craftpart3a_diag1	[你付我钱、把所有残片都给我，我就立刻开工。这活很复杂，价值 1500 万达珀。开工后概不退款。]

// HASH_VALUE 2C82716D2BE83539
// INDEX 87
boss_mainland_craftpart3a_diag2	[让我看看……不久前我见过一件相似的东西。\n
	\n
	这是一份掠夺者护甲的图纸！稀有……价值连城……\n
	\n
	它修复好了！我现在可以教你们制造这套护甲了。]

// HASH_VALUE 32EC14B31580D0B7
// INDEX 88
boss_mainland_craftpart3a_diaglevel	[你看起来经验不足，理解不了我想教你的东西。等你再积累一些护甲制造经验再来！]

// HASH_VALUE 5F9C4BF17A66914C
// INDEX 89
boss_mainland_craftpart3a_mission_intro	[修复头盔图纸。]

// HASH_VALUE A774CFECDF44BD11
// INDEX 90
boss_mainland_craftpart3a_p_mis_desc	[完成支付。]

// HASH_VALUE 4B1EBA39D8CF456C
// INDEX 91
boss_mainland_craftpart3a_p_mis_title	[修复。]

// HASH_VALUE 084FE1AC3C6CC072
// INDEX 92
boss_mainland_craftpart3b_diag1	[你付我钱、把所有残片都给我，我就立刻开工。这活很复杂，价值 1500 万达珀。开工后概不退款。]

// HASH_VALUE 2C82716D2BE83539
// INDEX 93
boss_mainland_craftpart3b_diag2	[让我看看……不久前我见过一件相似的东西。\n
	\n
	这是一份掠夺者护甲的图纸！稀有……价值连城……\n
	\n
	它修复好了！我现在可以教你们制造这套护甲了。]

// HASH_VALUE 32EC14B31580D0B7
// INDEX 94
boss_mainland_craftpart3b_diaglevel	[你看起来经验不足，理解不了我想教你的东西。等你再积累一些护甲制造经验再来！]

// HASH_VALUE 5F9C4BF17A66914C
// INDEX 95
boss_mainland_craftpart3b_mission_intro	[修复头盔图纸。]

// HASH_VALUE A774CFECDF44BD11
// INDEX 96
boss_mainland_craftpart3b_p_mis_desc	[完成支付。]

// HASH_VALUE 4B1EBA39D8CF456C
// INDEX 97
boss_mainland_craftpart3b_p_mis_title	[修复。]

// HASH_VALUE 084FE1AC3C6CC072
// INDEX 98
boss_mainland_craftpart3c_diag1	[你付我钱、把所有残片都给我，我就立刻开工。这活很复杂，价值 1500 万达珀。开工后概不退款。]

// HASH_VALUE 2C82716D2BE83539
// INDEX 99
boss_mainland_craftpart3c_diag2	[让我看看……不久前我见过一件相似的东西。\n
	\n
	这是一份掠夺者护甲的图纸！稀有……价值连城……\n
	\n
	它修复好了！我现在可以教你们制造这套护甲了。]

// HASH_VALUE 32EC14B31580D0B7
// INDEX 100
boss_mainland_craftpart3c_diaglevel	[你看起来经验不足，理解不了我想教你的东西。等你再积累一些护甲制造经验再来！]

// HASH_VALUE 5F9C4BF17A66914C
// INDEX 101
boss_mainland_craftpart3c_mission_intro	[修复头盔图纸。]

// HASH_VALUE A774CFECDF44BD11
// INDEX 102
boss_mainland_craftpart3c_p_mis_desc	[完成支付。]

// HASH_VALUE 4B1EBA39D8CF456C
// INDEX 103
boss_mainland_craftpart3c_p_mis_title	[修复。]

// HASH_VALUE 084FE1AC3C6CC072
// INDEX 104
boss_mainland_craftpart3d_diag1	[你付我钱、把所有残片都给我，我就立刻开工。这活很复杂，价值 1500 万达珀。开工后概不退款。]

// HASH_VALUE 2C82716D2BE83539
// INDEX 105
boss_mainland_craftpart3d_diag2	[让我看看……不久前我见过一件相似的东西。\n
	\n
	这是一份掠夺者护甲的图纸！稀有……价值连城……\n
	\n
	它修复好了！我现在可以教你们制造这套护甲了。]

// HASH_VALUE 32EC14B31580D0B7
// INDEX 106
boss_mainland_craftpart3d_diaglevel	[你看起来经验不足，理解不了我想教你的东西。等你再积累一些护甲制造经验再来！]

// HASH_VALUE 5F9C4BF17A66914C
// INDEX 107
boss_mainland_craftpart3d_mission_intro	[修复头盔图纸。]

// HASH_VALUE A774CFECDF44BD11
// INDEX 108
boss_mainland_craftpart3d_p_mis_desc	[完成支付。]

// HASH_VALUE 4B1EBA39D8CF456C
// INDEX 109
boss_mainland_craftpart3d_p_mis_title	[修复。]

// HASH_VALUE 084FE1AC3C6CC072
// INDEX 110
boss_mainland_craftpart3e_diag1	[你付我钱、把所有残片都给我，我就立刻开工。这活很复杂，价值 1500 万达珀。开工后概不退款。]

// HASH_VALUE 2C82716D2BE83539
// INDEX 111
boss_mainland_craftpart3e_diag2	[让我看看……不久前我见过一件相似的东西。\n
	\n
	这是一份掠夺者护甲的图纸！稀有……价值连城……\n
	\n
	它修复好了！我现在可以教你们制造这套护甲了。]

// HASH_VALUE 32EC14B31580D0B7
// INDEX 112
boss_mainland_craftpart3e_diaglevel	[你看起来经验不足，理解不了我想教你的东西。等你再积累一些护甲制造经验再来！]

// HASH_VALUE 5F9C4BF17A66914C
// INDEX 113
boss_mainland_craftpart3e_mission_intro	[修复头盔图纸。]

// HASH_VALUE A774CFECDF44BD11
// INDEX 114
boss_mainland_craftpart3e_p_mis_desc	[完成支付。]

// HASH_VALUE 4B1EBA39D8CF456C
// INDEX 115
boss_mainland_craftpart3e_p_mis_title	[修复。]

// HASH_VALUE 084FE1AC3C6CC072
// INDEX 116
boss_mainland_craftpart4a_diag1	[你付我钱、把所有残片都给我，我就立刻开工。这活很复杂，价值 1500 万达珀。开工后概不退款。]

// HASH_VALUE 2C82716D2BE83539
// INDEX 117
boss_mainland_craftpart4a_diag2	[让我看看……不久前我见过一件相似的东西。\n
	\n
	这是一份掠夺者护甲的图纸！稀有……价值连城……\n
	\n
	它修复好了！我现在可以教你们制造这套护甲了。]

// HASH_VALUE 32EC14B31580D0B7
// INDEX 118
boss_mainland_craftpart4a_diaglevel	[你看起来经验不足，理解不了我想教你的东西。等你再积累一些护甲制造经验再来！]

// HASH_VALUE B0E29D468F57914C
// INDEX 119
boss_mainland_craftpart4a_mission_intro	[修复裤子图纸。]

// HASH_VALUE A774CFECDF44BD11
// INDEX 120
boss_mainland_craftpart4a_p_mis_desc	[完成支付。]

// HASH_VALUE 4B1EBA39D8CF456C
// INDEX 121
boss_mainland_craftpart4a_p_mis_title	[修复。]

// HASH_VALUE 084FE1AC3C6CC072
// INDEX 122
boss_mainland_craftpart4b_diag1	[你付我钱、把所有残片都给我，我就立刻开工。这活很复杂，价值 1500 万达珀。开工后概不退款。]

// HASH_VALUE 2C82716D2BE83539
// INDEX 123
boss_mainland_craftpart4b_diag2	[让我看看……不久前我见过一件相似的东西。\n
	\n
	这是一份掠夺者护甲的图纸！稀有……价值连城……\n
	\n
	它修复好了！我现在可以教你们制造这套护甲了。]

// HASH_VALUE 32EC14B31580D0B7
// INDEX 124
boss_mainland_craftpart4b_diaglevel	[你看起来经验不足，理解不了我想教你的东西。等你再积累一些护甲制造经验再来！]

// HASH_VALUE B0E29D468F57914C
// INDEX 125
boss_mainland_craftpart4b_mission_intro	[修复裤子图纸。]

// HASH_VALUE A774CFECDF44BD11
// INDEX 126
boss_mainland_craftpart4b_p_mis_desc	[完成支付。]

// HASH_VALUE 4B1EBA39D8CF456C
// INDEX 127
boss_mainland_craftpart4b_p_mis_title	[修复。]

// HASH_VALUE 084FE1AC3C6CC072
// INDEX 128
boss_mainland_craftpart4c_diag1	[你付我钱、把所有残片都给我，我就立刻开工。这活很复杂，价值 1500 万达珀。开工后概不退款。]

// HASH_VALUE 2C82716D2BE83539
// INDEX 129
boss_mainland_craftpart4c_diag2	[让我看看……不久前我见过一件相似的东西。\n
	\n
	这是一份掠夺者护甲的图纸！稀有……价值连城……\n
	\n
	它修复好了！我现在可以教你们制造这套护甲了。]

// HASH_VALUE 32EC14B31580D0B7
// INDEX 130
boss_mainland_craftpart4c_diaglevel	[你看起来经验不足，理解不了我想教你的东西。等你再积累一些护甲制造经验再来！]

// HASH_VALUE B0E29D468F57914C
// INDEX 131
boss_mainland_craftpart4c_mission_intro	[修复裤子图纸。]

// HASH_VALUE A774CFECDF44BD11
// INDEX 132
boss_mainland_craftpart4c_p_mis_desc	[完成支付。]

// HASH_VALUE 4B1EBA39D8CF456C
// INDEX 133
boss_mainland_craftpart4c_p_mis_title	[修复。]

// HASH_VALUE 084FE1AC3C6CC072
// INDEX 134
boss_mainland_craftpart4d_diag1	[你付我钱、把所有残片都给我，我就立刻开工。这活很复杂，价值 1500 万达珀。开工后概不退款。]

// HASH_VALUE 2C82716D2BE83539
// INDEX 135
boss_mainland_craftpart4d_diag2	[让我看看……不久前我见过一件相似的东西。\n
	\n
	这是一份掠夺者护甲的图纸！稀有……价值连城……\n
	\n
	它修复好了！我现在可以教你们制造这套护甲了。]

// HASH_VALUE 32EC14B31580D0B7
// INDEX 136
boss_mainland_craftpart4d_diaglevel	[你看起来经验不足，理解不了我想教你的东西。等你再积累一些护甲制造经验再来！]

// HASH_VALUE B0E29D468F57914C
// INDEX 137
boss_mainland_craftpart4d_mission_intro	[修复裤子图纸。]

// HASH_VALUE A774CFECDF44BD11
// INDEX 138
boss_mainland_craftpart4d_p_mis_desc	[完成支付。]

// HASH_VALUE 4B1EBA39D8CF456C
// INDEX 139
boss_mainland_craftpart4d_p_mis_title	[修复。]

// HASH_VALUE 084FE1AC3C6CC072
// INDEX 140
boss_mainland_craftpart4e_diag1	[你付我钱、把所有残片都给我，我就立刻开工。这活很复杂，价值 1500 万达珀。开工后概不退款。]

// HASH_VALUE 2C82716D2BE83539
// INDEX 141
boss_mainland_craftpart4e_diag2	[让我看看……不久前我见过一件相似的东西。\n
	\n
	这是一份掠夺者护甲的图纸！稀有……价值连城……\n
	\n
	它修复好了！我现在可以教你们制造这套护甲了。]

// HASH_VALUE 32EC14B31580D0B7
// INDEX 142
boss_mainland_craftpart4e_diaglevel	[你看起来经验不足，理解不了我想教你的东西。等你再积累一些护甲制造经验再来！]

// HASH_VALUE B0E29D468F57914C
// INDEX 143
boss_mainland_craftpart4e_mission_intro	[修复裤子图纸。]

// HASH_VALUE A774CFECDF44BD11
// INDEX 144
boss_mainland_craftpart4e_p_mis_desc	[完成支付。]

// HASH_VALUE 4B1EBA39D8CF456C
// INDEX 145
boss_mainland_craftpart4e_p_mis_title	[修复。]

// HASH_VALUE 084FE1AC3C6CC072
// INDEX 146
boss_mainland_craftpart5a_diag1	[你付我钱、把所有残片都给我，我就立刻开工。这活很复杂，价值 1500 万达珀。开工后概不退款。]

// HASH_VALUE 2C82716D2BE83539
// INDEX 147
boss_mainland_craftpart5a_diag2	[让我看看……不久前我见过一件相似的东西。\n
	\n
	这是一份掠夺者护甲的图纸！稀有……价值连城……\n
	\n
	它修复好了！我现在可以教你们制造这套护甲了。]

// HASH_VALUE 32EC14B31580D0B7
// INDEX 148
boss_mainland_craftpart5a_diaglevel	[你看起来经验不足，理解不了我想教你的东西。等你再积累一些护甲制造经验再来！]

// HASH_VALUE 5F0567781B8E914C
// INDEX 149
boss_mainland_craftpart5a_mission_intro	[修复护臂图纸。]

// HASH_VALUE A774CFECDF44BD11
// INDEX 150
boss_mainland_craftpart5a_p_mis_desc	[完成支付。]

// HASH_VALUE 4B1EBA39D8CF456C
// INDEX 151
boss_mainland_craftpart5a_p_mis_title	[修复。]

// HASH_VALUE 084FE1AC3C6CC072
// INDEX 152
boss_mainland_craftpart5b_diag1	[你付我钱、把所有残片都给我，我就立刻开工。这活很复杂，价值 1500 万达珀。开工后概不退款。]

// HASH_VALUE 2C82716D2BE83539
// INDEX 153
boss_mainland_craftpart5b_diag2	[让我看看……不久前我见过一件相似的东西。\n
	\n
	这是一份掠夺者护甲的图纸！稀有……价值连城……\n
	\n
	它修复好了！我现在可以教你们制造这套护甲了。]

// HASH_VALUE 32EC14B31580D0B7
// INDEX 154
boss_mainland_craftpart5b_diaglevel	[你看起来经验不足，理解不了我想教你的东西。等你再积累一些护甲制造经验再来！]

// HASH_VALUE 5F0567781B8E914C
// INDEX 155
boss_mainland_craftpart5b_mission_intro	[修复护臂图纸。]

// HASH_VALUE A774CFECDF44BD11
// INDEX 156
boss_mainland_craftpart5b_p_mis_desc	[完成支付。]

// HASH_VALUE 4B1EBA39D8CF456C
// INDEX 157
boss_mainland_craftpart5b_p_mis_title	[修复。]

// HASH_VALUE 084FE1AC3C6CC072
// INDEX 158
boss_mainland_craftpart5c_diag1	[你付我钱、把所有残片都给我，我就立刻开工。这活很复杂，价值 1500 万达珀。开工后概不退款。]

// HASH_VALUE 2C82716D2BE83539
// INDEX 159
boss_mainland_craftpart5c_diag2	[让我看看……不久前我见过一件相似的东西。\n
	\n
	这是一份掠夺者护甲的图纸！稀有……价值连城……\n
	\n
	它修复好了！我现在可以教你们制造这套护甲了。]

// HASH_VALUE 32EC14B31580D0B7
// INDEX 160
boss_mainland_craftpart5c_diaglevel	[你看起来经验不足，理解不了我想教你的东西。等你再积累一些护甲制造经验再来！]

// HASH_VALUE 5F0567781B8E914C
// INDEX 161
boss_mainland_craftpart5c_mission_intro	[修复护臂图纸。]

// HASH_VALUE A774CFECDF44BD11
// INDEX 162
boss_mainland_craftpart5c_p_mis_desc	[完成支付。]

// HASH_VALUE 4B1EBA39D8CF456C
// INDEX 163
boss_mainland_craftpart5c_p_mis_title	[修复。]

// HASH_VALUE 084FE1AC3C6CC072
// INDEX 164
boss_mainland_craftpart5d_diag1	[你付我钱、把所有残片都给我，我就立刻开工。这活很复杂，价值 1500 万达珀。开工后概不退款。]

// HASH_VALUE 2C82716D2BE83539
// INDEX 165
boss_mainland_craftpart5d_diag2	[让我看看……不久前我见过一件相似的东西。\n
	\n
	这是一份掠夺者护甲的图纸！稀有……价值连城……\n
	\n
	它修复好了！我现在可以教你们制造这套护甲了。]

// HASH_VALUE 32EC14B31580D0B7
// INDEX 166
boss_mainland_craftpart5d_diaglevel	[你看起来经验不足，理解不了我想教你的东西。等你再积累一些护甲制造经验再来！]

// HASH_VALUE 5F0567781B8E914C
// INDEX 167
boss_mainland_craftpart5d_mission_intro	[修复护臂图纸。]

// HASH_VALUE A774CFECDF44BD11
// INDEX 168
boss_mainland_craftpart5d_p_mis_desc	[完成支付。]

// HASH_VALUE 4B1EBA39D8CF456C
// INDEX 169
boss_mainland_craftpart5d_p_mis_title	[修复。]

// HASH_VALUE 084FE1AC3C6CC072
// INDEX 170
